Id ,Answer,Label 1,Label 2,Label 3
50,沒有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,沒有 刻板印象/偏見
51,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
52,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
53,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
54,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
55,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
56,沒有 刻板印象/偏見,沒有 刻板印象/偏見,有 刻板印象/偏見,沒有 刻板印象/偏見
57,沒有 刻板印象/偏見,有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
58,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
59,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
60,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
